,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
90375,0.493475875,34,0,0.245107842,7000.0,11,0,0,0,0.0
94133,0.6762275529999999,62,0,0.294496131,11500.0,9,0,2,0,3.0
56540,0.0,84,0,0.0,2132.0,4,0,0,0,0.0
59259,0.6854662909999999,49,0,0.8807178040000001,5683.0,8,0,3,0,1.0
15667,0.876641535,59,0,0.400036921,5416.0,14,0,0,0,0.0
127902,0.044842704,36,0,0.45891246,4100.0,9,0,1,0,2.0
104135,0.052654673,65,0,0.016995751,4000.0,7,0,0,0,1.0
56019,0.004712213,55,0,0.367106176,4322.0,11,0,1,0,0.0
5762,0.021889948,62,0,0.134253749,4200.0,12,0,1,0,0.0
119301,0.001363589,57,0,0.425461009,4500.0,10,0,2,1,0.0
4895,1.6e-05,80,0,0.716395305,2640.0,14,0,1,0,0.0
69865,0.151685257,50,0,0.514516844,9023.0,13,0,3,0,1.0
58433,0.150871742,64,0,0.50594725,5800.0,10,0,1,0,0.0
141609,0.08391317,47,0,1.423138725,5600.0,5,0,2,0,4.0
23158,0.002819496,63,0,0.392049512,4200.0,5,0,1,0,0.0
73270,0.121239354,62,0,0.49677256,7900.0,21,0,1,0,4.0
73606,0.046559353,49,0,0.144664896,6400.0,7,0,0,0,2.0
82706,0.378818291,54,1,1.245308835,5115.0,13,0,2,0,0.0
23944,0.814098642,68,0,0.183966552,5500.0,16,3,1,0,0.0
87669,0.9999999,27,0,0.0,2000.0,0,1,0,1,0.0
71602,0.957304684,56,2,0.65521997,7250.0,7,0,3,0,3.0
120044,0.003870552,44,0,0.764094362,2500.0,7,0,1,0,2.0
147098,0.000959819,30,1,0.12071982,4000.0,11,0,0,0,0.0
114470,0.004354711,46,0,0.165148398,6805.0,4,0,1,0,2.0
102553,0.481694355,59,1,0.68554599,4413.0,13,0,1,0,0.0
10285,0.100995792,63,0,0.281506014,5736.0,5,0,1,0,0.0
143160,0.568993495,47,0,0.5482810570000001,7300.0,17,0,3,0,0.0
71038,0.073397064,64,0,0.328334226,5600.0,4,0,1,0,0.0
102099,0.289232295,42,0,0.3799415470000001,6500.0,5,0,2,0,1.0
147077,0.01318078,53,0,0.019363356,6816.0,37,0,0,0,0.0
36790,0.044306154,32,0,1.85313569,4384.0,12,0,3,0,2.0
128655,0.444426316,50,0,0.186545286,6480.0,8,0,0,0,2.0
20342,1.063793621,46,2,0.122292569,3000.0,2,1,0,1,0.0
39053,0.296703297,32,2,0.262315943,5500.0,10,1,0,0,2.0
95620,0.016110251000000003,75,0,0.337665584,4000.0,13,0,2,1,0.0
103807,0.930389718,61,4,0.186172745,10500.0,13,0,0,0,2.0
141630,0.055773077,44,1,0.308170612,9166.0,12,0,2,0,0.0
111709,0.141029673,48,0,0.7423915390000001,9265.0,13,0,3,0,1.0
944,0.251284106,34,0,0.75145816,8400.0,18,0,4,0,0.0
23067,0.062894979,74,0,0.527934008,8000.0,15,0,3,0,0.0
59546,0.7482058640000001,63,0,1.219254863,3032.0,9,0,2,0,0.0
12177,0.5847415260000001,35,0,0.02363586,10830.0,4,0,0,0,0.0
94758,0.031410366,65,0,0.096352432,12007.0,8,0,1,0,1.0
98621,0.915405716,40,2,0.33726627299999995,10000.0,11,0,1,1,0.0
12462,0.995361995,60,0,0.267421935,10503.0,7,0,0,0,1.0
103851,0.055738885,66,0,0.189216581,9866.0,3,0,1,0,1.0
871,0.035754761,79,0,0.00829363,5666.0,5,0,0,0,1.0
144769,0.0,26,1,0.23726628,1550.0,4,0,0,0,0.0
81069,0.644677434,55,1,0.287945153,5250.0,8,0,1,0,0.0
41537,0.048594526,67,0,0.114377338,13096.0,12,0,2,0,1.0
4198,0.060267248,27,0,0.051950598,5100.0,3,0,0,0,0.0
119880,0.005420849,44,0,0.160911878,7500.0,10,0,1,0,3.0
148086,0.0,80,0,0.197580242,10000.0,13,0,1,0,0.0
128579,0.339330335,22,0,0.010411244,1920.0,2,0,0,0,0.0
44181,0.513945853,57,0,0.538973051,20000.0,27,0,4,0,0.0
26308,0.9999999,46,0,0.0,6000.0,1,0,0,1,4.0
52718,0.029999379,58,0,0.558769393,11408.0,15,0,4,0,1.0
6443,1.010430248,32,1,0.313493866,2200.0,5,1,0,2,4.0
49924,0.213321864,30,0,0.013532882,30000.0,5,0,0,0,0.0
88053,1.07846077,28,0,0.149266992,2250.0,2,0,0,0,0.0
139842,0.000937471,75,0,0.144355854,4765.0,7,0,1,0,1.0
34276,0.018065472,67,0,0.153584585,3528.0,6,0,1,0,1.0
135645,0.0,48,0,0.57107662,4058.0,5,0,1,0,1.0
117925,0.492786745,28,0,0.277326671,1600.0,8,0,0,0,0.0
138801,0.99781838,40,0,0.511753731,5359.0,6,0,2,0,0.0
23148,0.098340047,40,0,0.305757289,9500.0,4,0,1,0,3.0
111971,0.730719068,38,0,0.429669485,5203.0,5,0,1,0,1.0
88678,0.142025736,66,0,0.375124975,5000.0,18,1,1,0,2.0
125355,0.047001271,39,0,0.562479174,3000.0,9,0,1,0,0.0
114294,0.11464786,72,2,0.117552979,2500.0,10,0,0,0,0.0
57615,0.697050492,46,1,0.066250743,3365.0,7,0,0,0,1.0
117858,0.0,47,0,0.2549393,4200.0,5,0,0,0,0.0
147785,0.199090352,50,0,0.270829812,11833.0,8,0,3,0,2.0
116224,0.164680624,47,0,0.860820244,4583.0,13,0,2,0,0.0
9928,0.052757500000000006,47,0,0.418974849,3140.0,12,0,1,0,2.0
113386,0.016739665,43,0,0.114428552,7200.0,9,0,0,0,0.0
117029,0.182646805,64,0,0.409684858,2601.0,19,0,0,0,0.0
61397,0.036737799,65,0,0.006520321999999999,4600.0,4,0,0,0,0.0
92036,0.078138437,48,0,0.384750992,6806.0,9,0,2,0,4.0
124238,0.077275631,65,0,0.015657423,5300.0,4,0,0,0,0.0
9430,0.522571795,54,0,0.373111283,9066.0,9,0,2,0,1.0
13540,0.009878245,43,0,0.143371326,5000.0,13,0,0,0,1.0
134749,0.025516241,77,0,0.021125625,6200.0,9,0,0,0,0.0
147979,0.020988108,84,0,0.114952103,2400.0,4,0,0,0,0.0
86430,0.080118784,63,0,0.034129693,3808.0,5,0,0,0,0.0
18632,0.646846891,57,0,1.162418791,2000.0,15,0,1,0,0.0
27669,0.0,68,1,0.14981306,11500.0,12,0,2,0,0.0
56383,0.039997436,47,0,0.278485722,10750.0,8,0,2,0,1.0
107672,0.005150607,81,0,0.117781234,9644.0,16,0,2,0,0.0
23045,0.10407057,45,0,0.355941918,5233.0,10,0,1,0,2.0
22590,0.17993091,63,0,0.333846549,3896.0,11,0,1,0,2.0
81776,0.028268432000000007,42,0,0.115731116,10100.0,10,0,0,1,0.0
126423,0.006490791,78,0,0.00461361,2600.0,14,0,0,0,0.0
15877,0.035338903,62,1,0.17796158,14991.0,10,0,1,0,0.0
27488,0.028334133,54,0,0.286379172,13750.0,18,0,2,1,3.0
15528,0.014378817,73,3,0.007105043,7177.0,9,0,0,0,0.0
145788,1.012250161,39,0,0.402711864,1474.0,10,0,0,0,0.0
15248,0.010449478,56,0,0.000319047,18805.0,4,0,0,0,1.0
110971,0.0,47,0,0.17534769600000005,11000.0,6,0,1,0,4.0
22443,0.760445198,41,0,0.438568798,3800.0,10,0,1,0,1.0
86703,0.107613923,77,0,0.536239933,3600.0,9,0,1,0,0.0
6692,0.184653846,47,0,0.57626037,4700.0,20,0,1,0,2.0
54879,0.855067888,75,0,0.086496948,6716.0,3,1,0,0,1.0
123602,0.766557424,65,0,0.8838459240000001,3348.0,9,0,1,0,1.0
99387,0.332841679,48,0,0.346057932,10425.0,11,0,2,0,5.0
105617,0.010071479,81,0,0.004188482,5729.0,7,0,0,0,0.0
74546,0.32227516,63,0,0.52864283,2600.0,9,0,0,0,0.0
121969,0.087433005,44,1,0.005314225,29166.0,5,0,0,0,0.0
131006,0.42067006,33,0,1.321824104,1534.0,8,0,0,0,0.0
134054,0.0,38,0,0.0,4000.0,4,0,0,0,0.0
108779,0.040244916,51,0,0.080414871,7423.0,5,0,0,0,3.0
90805,0.084566628,51,0,0.329129312,6580.0,10,0,2,0,0.0
71014,0.690677242,68,0,1.099846727,4566.0,19,0,1,0,1.0
60775,0.9999999,45,0,0.15033986400000002,2500.0,1,0,1,0,0.0
142540,0.02179782,47,0,0.368610158,6122.0,6,0,1,0,0.0
118482,0.01185604,77,0,0.002540937,3541.0,4,0,0,0,0.0
142644,0.817672744,48,0,0.194422468,15167.0,11,0,2,0,0.0
76841,0.124103508,59,0,0.184387618,5200.0,6,0,0,0,1.0
19195,0.516139885,52,0,0.247985676,3350.0,6,0,0,0,2.0
71135,0.73367651,42,2,1.016996601,5000.0,6,0,2,0,2.0
34408,0.337070716,29,0,0.214261913,3000.0,7,0,0,0,0.0
38412,0.038219521,44,0,0.045581767,2500.0,16,0,0,0,1.0
65722,0.795840832,26,0,0.259600614,650.0,2,0,0,0,0.0
142797,0.261885283,44,0,0.351565852,32633.0,10,0,3,0,3.0
26930,0.6011475860000001,58,0,0.4599712520000001,16000.0,23,0,3,0,2.0
52112,0.550418324,83,0,0.31279733600000004,4203.0,10,0,0,0,0.0
47628,0.0,29,0,0.0,1600.0,2,0,0,0,0.0
49600,0.259501181,68,0,0.186703324,4000.0,17,0,0,0,0.0
103077,0.031034606,80,0,0.012476008,2083.0,3,0,0,0,0.0
107571,0.147151138,61,0,0.693653173,2000.0,9,0,1,0,0.0
147028,0.28859775,39,0,0.450532035,4416.0,7,0,1,0,1.0
109595,0.7090356170000001,45,0,0.527155816,8708.0,12,0,3,0,3.0
68703,0.150445043,69,0,0.154871594,5100.0,8,0,1,0,0.0
123073,0.068953524,52,0,0.305576147,12140.0,11,0,1,0,1.0
100652,0.0,47,0,0.3881529620000001,4000.0,6,0,2,0,2.0
48390,0.095626777,33,0,0.288744388,6458.0,10,0,2,0,0.0
34751,0.003294251,56,0,0.233721132,5758.0,9,0,1,0,1.0
100403,0.612791659,60,0,0.568810397,3000.0,10,0,1,0,1.0
26060,0.222688866,46,0,0.465543645,11100.0,4,0,3,0,1.0
75759,0.0,86,0,0.0,2160.0,1,0,0,0,0.0
104577,0.009997728,31,0,0.025641026,14000.0,5,0,0,0,0.0
132229,0.019330112,41,1,0.357919385,5978.0,5,0,1,1,4.0
39411,0.075511473,47,4,0.640670666,6500.0,8,0,1,0,3.0
50524,0.94106814,24,1,0.356191744,1501.0,4,0,0,0,0.0
47931,0.037639095,77,0,0.056217374,7470.0,7,0,0,0,0.0
104573,0.05730213,38,0,0.408709368,17750.0,11,0,3,0,2.0
61227,0.9999999,32,0,0.335733141,8333.0,5,0,1,0,0.0
99085,0.020945756,42,0,0.926558807,5500.0,12,0,4,0,3.0
121758,0.9999999,27,0,0.0,3000.0,0,0,0,0,0.0
10458,0.143673236,24,0,0.007932166,3655.0,3,0,0,1,0.0
96348,0.049565116,68,0,0.472555205,3169.0,6,0,1,0,0.0
27104,0.9999999,44,0,0.005597761,2500.0,1,0,0,0,1.0
22545,0.6609222889999999,41,0,0.649722928,24000.0,11,0,2,0,1.0
95615,0.395300057,51,0,0.658041752,3400.0,17,0,1,0,1.0
55268,0.049119395,53,0,0.218450028,14167.0,22,0,3,0,1.0
106908,0.476254599,51,0,0.430913817,5000.0,8,0,1,0,0.0
56354,0.0,52,0,0.227508996,2500.0,3,0,1,0,1.0
104128,0.175855602,66,0,0.721046492,6000.0,9,0,3,0,0.0
19736,0.9500998,55,0,0.098971093,4081.0,2,3,0,0,0.0
5567,0.041630642,57,0,0.205279472,10000.0,11,0,2,0,0.0
